timestamp,phase,mem_sum,mem_chld0,mem_chld1,mem_chld2,mem_chld3,mem_chld4,mem_chld5,mem_chld6,mem_chld7,mem_chld8,mem_chld9,mem_chld10,mem_chld11,mem_chld12,mem_chld13,mem_chld14,mem_chld15,mem_chld16,mem_chld17,mem_chld18,mem_chld19
1630021290.4189463,setup,5180.45703125,1856.55078125,10.99609375,1656.296875,1658.78515625,0.00390625,,,,,,,,,,,,,,,
1630021290.8777287,setup,5410.6484375,1856.84765625,10.99609375,1656.296875,1661.5546875,62.7109375,56.68359375,51.01171875,43.91796875,40.9765625,33.4296875,31.1484375,18.97265625,0.00390625,,,,,,,
1630021291.3284984,setup,6178.73046875,1857.19921875,10.99609375,1656.296875,1661.6171875,168.83984375,147.9375,138.40234375,137.41015625,138.5625,109.8984375,108.6328125,61.6484375,50.77734375,55.390625,46.8515625,45.671875,30.32421875,32.97265625,18.80859375,12.61328125
1630021291.7829826,setup,7324.0078125,1857.19921875,10.99609375,1656.296875,1661.6171875,217.1015625,212.74609375,200.8671875,196.140625,196.66796875,195.31640625,195.98828125,144.67578125,110.6015625,144.5390625,137.44140625,139.08203125,77.44140625,108.609375,53.00390625,58.22265625
1630021292.2506332,setup,8401.6484375,1857.19921875,10.99609375,1656.296875,1661.6171875,254.16796875,262.109375,249.38671875,244.62109375,248.10546875,241.10546875,248.51953125,208.4296875,195.484375,210.796875,198.76953125,209.72265625,182.07421875,194.83984375,110.453125,172.02734375
1630021292.710739,setup,9455.85546875,1857.3203125,10.99609375,1656.296875,1661.6171875,347.90625,385.15625,383.8046875,383.03125,383.80859375,382.7109375,384.53125,253.83203125,241.3984375,251.1640625,248.46875,258.46484375,230.51171875,241.453125,193.26953125,220.87890625
1630021293.1586027,setup,10670.99609375,1857.34765625,10.99609375,1656.296875,1661.6171875,384.75390625,385.15625,384.69921875,385.1484375,384.7421875,384.7421875,385.38671875,384.69140625,342.796875,384.0390625,383.86328125,384.3984375,303.90234375,292.69921875,227.32421875,278.58984375
1630021293.606288,setup,11236.09765625,1857.41015625,10.99609375,1656.296875,1661.6171875,385.32421875,385.7265625,384.69921875,385.1484375,384.7421875,385.203125,385.38671875,384.69140625,385.3671875,385.2734375,384.9375,384.3984375,385.34765625,384.4453125,356.21484375,384.6484375
1630021294.0543277,setup,11347.3828125,1857.50390625,10.99609375,1656.296875,1661.6171875,385.65234375,385.81640625,385.453125,385.20703125,385.421875,385.27734375,386.06640625,384.69140625,385.3671875,385.2734375,384.9375,384.3984375,385.34765625,384.4453125,385.18359375,384.6484375
1630021294.4994998,setup,11350.8671875,1857.54296875,10.99609375,1656.296875,1661.6171875,385.65234375,385.81640625,385.453125,385.20703125,385.421875,385.27734375,386.06640625,384.7421875,385.42578125,385.33984375,385.5546875,384.51953125,385.421875,385.31640625,385.18359375,384.71484375
1630021294.9542136,setup,11352.515625,1857.57421875,10.99609375,1656.296875,1661.6171875,385.65234375,385.84375,385.4609375,385.2109375,385.43359375,385.28125,386.07421875,384.7421875,385.984375,385.33984375,385.5546875,384.51953125,385.421875,385.31640625,386.03515625,384.71484375
1630021295.392258,setup,11354.53515625,1857.58984375,10.99609375,1656.296875,1661.6171875,385.65234375,385.84375,385.4609375,385.2109375,385.43359375,385.28125,386.07421875,385.19921875,385.9921875,385.8515625,385.8203125,385.1796875,385.42578125,385.31640625,386.03515625,384.71484375
1630021295.836795,setup,11355.5625,1857.640625,10.99609375,1656.296875,1661.6171875,385.65234375,385.859375,385.46875,385.2109375,385.69921875,385.28125,386.09765625,385.19921875,385.9921875,385.8515625,385.8203125,385.1796875,385.9609375,385.31640625,386.04296875,384.72265625
1630021296.2906377,setup,11356.26953125,1857.6484375,10.99609375,1656.296875,1661.6171875,385.72265625,385.859375,385.46875,385.21875,385.69921875,385.54296875,386.09765625,385.20703125,385.9921875,385.9765625,385.83984375,385.1875,385.9609375,385.31640625,386.04296875,384.72265625
1630021296.7588847,setup,11787.75390625,1858.21484375,10.99609375,1656.296875,1661.6171875,397.98828125,398.0,397.60546875,397.44140625,398.00390625,397.65625,397.80078125,397.5703125,397.6953125,399.94921875,397.890625,397.62109375,399.68359375,397.43359375,399.62109375,397.66015625
1630021297.226386,setup,12247.4921875,1858.21484375,10.99609375,1656.296875,1661.6171875,423.39453125,426.453125,423.23828125,425.80859375,423.99609375,423.8515625,425.50390625,424.3984375,424.87109375,425.91015625,424.94140625,424.5703125,427.58203125,423.3984375,425.0546875,425.10546875
1630021297.705746,setup,12685.2890625,1858.22265625,10.99609375,1656.296875,1661.6171875,451.96875,452.78125,448.25390625,454.3125,452.109375,448.55078125,452.24609375,451.734375,453.68359375,454.734375,452.23046875,453.87109375,455.31640625,451.51171875,452.11328125,453.58984375
1630021298.1699235,setup,13122.09765625,1858.23046875,10.99609375,1656.296875,1661.6171875,478.78125,482.4296875,475.08203125,483.453125,478.66015625,475.59375,479.0234375,477.8984375,479.75,482.3203125,478.28125,484.0546875,479.03515625,480.2578125,481.22265625,478.59765625
1630021298.6230845,setup,13536.66015625,1858.23046875,10.99609375,1656.296875,1661.6171875,504.828125,507.875,502.07421875,508.46875,503.671875,499.8359375,505.58203125,504.7109375,505.8046875,509.40234375,506.66015625,510.8671875,506.1171875,505.01171875,506.23828125,507.734375
1630021299.0813105,setup,13968.19921875,1858.23046875,10.99609375,1656.296875,1661.6171875,530.87890625,533.40625,527.609375,536.85546875,531.51953125,529.40625,533.59765625,531.5234375,529.7890625,538.70703125,533.73828125,537.8828125,535.93359375,532.34375,535.046875,536.1015625
