timestamp,phase,mem_sum,mem_chld0,mem_chld1,mem_chld2,mem_chld3,mem_chld4,mem_chld5,mem_chld6,mem_chld7,mem_chld8,mem_chld9,mem_chld10,mem_chld11,mem_chld12,mem_chld13,mem_chld14,mem_chld15,mem_chld16,mem_chld17,mem_chld18,mem_chld19
1631987018.7881012,setup,763.05078125,382.5,190.6640625,191.96484375,,,,,,,,,,,,,,,,,
1631987019.362688,setup,934.359375,399.59375,190.6640625,203.453125,10.98828125,34.1796875,33.34375,33.55859375,31.8828125,31.90234375,30.4609375,28.9921875,28.94921875,21.82421875,20.84765625,17.91015625,15.60546875,11.02734375,8.8984375,7.109375,
1631987019.8186028,setup,1647.10546875,399.83984375,190.6640625,203.61328125,10.98828125,80.2265625,81.375,96.421875,64.04296875,76.13671875,79.00390625,60.6328125,64.84765625,64.92578125,64.44921875,63.65234375,59.8984375,56.60546875,50.5703125,47.19140625,56.53515625
1631987020.2770593,setup,2985.37890625,399.83984375,190.6640625,203.61328125,10.98828125,172.796875,172.515625,172.484375,171.76953125,171.75,172.52734375,148.1953125,169.5078125,170.15234375,170.59765625,169.37109375,164.109375,143.84765625,110.515625,137.35546875,142.92578125
1631987020.7386813,setup,3969.91796875,399.8671875,190.6640625,203.61328125,10.98828125,217.4140625,217.15234375,215.98828125,210.45703125,202.33203125,216.09765625,210.11328125,215.37890625,215.1171875,214.03515625,211.984375,211.6484375,209.09765625,182.67578125,197.04296875,204.67578125
1631987021.200241,setup,4693.08203125,399.8671875,190.6640625,203.61328125,10.98828125,257.76171875,263.87109375,257.8671875,249.6484375,248.05859375,256.97265625,251.33203125,257.60546875,257.3125,254.6328125,253.96484375,253.9375,253.41015625,226.5859375,247.14453125,248.5546875
1631987021.6608915,setup,6403.29296875,399.8671875,190.6640625,203.61328125,10.98828125,382.48828125,383.97265625,382.79296875,382.21875,381.37109375,382.46875,382.49609375,383.24609375,383.4765625,383.15625,382.9765625,382.32421875,383.16015625,272.375,381.64453125,383.6015625
1631987022.1457484,setup,6942.546875,400.99609375,190.6640625,203.61328125,10.98828125,383.66796875,384.53125,383.265625,382.21875,382.9296875,383.96484375,383.28125,383.57421875,384.26953125,383.92578125,383.89453125,383.31640625,383.78515625,383.4375,383.57421875,384.7265625
1631987022.6024723,setup,6949.8359375,400.99609375,190.6640625,203.61328125,10.98828125,383.66796875,384.53125,383.265625,382.21875,383.5234375,383.96484375,383.94140625,384.1484375,384.828125,384.484375,384.4609375,383.85546875,384.3984375,383.4375,384.11328125,384.734375
1631987023.0540352,setup,6968.328125,401.78125,190.6640625,203.61328125,10.98828125,384.1796875,384.59765625,383.37890625,385.00390625,383.6015625,384.01953125,384.02734375,384.1796875,384.921875,384.62109375,384.53515625,383.9140625,384.51953125,383.50390625,384.234375,384.8125
1631987023.5055356,setup,6955.76171875,401.83984375,190.6640625,203.61328125,10.98828125,384.1796875,384.59765625,383.984375,385.00390625,383.6015625,384.01953125,384.02734375,384.1796875,384.921875,384.62109375,384.53515625,383.9140625,384.51953125,383.50390625,384.234375,384.8125
1631987023.9573953,setup,6956.94921875,401.921875,190.6640625,203.61328125,10.98828125,384.18359375,384.62109375,383.99609375,385.0703125,383.8671875,384.03125,384.03515625,384.1953125,384.93359375,384.6328125,384.55078125,384.18359375,384.52734375,383.50390625,384.25,385.20703125
1631987024.4093473,setup,6967.55859375,402.00390625,190.6640625,203.61328125,10.98828125,384.18359375,384.62109375,383.99609375,385.0703125,383.8671875,384.03125,384.03515625,384.1953125,384.93359375,384.6328125,384.55078125,384.18359375,384.52734375,384.08984375,384.2578125,385.20703125
1631987024.8613684,setup,6967.65234375,402.1328125,190.6640625,203.61328125,10.98828125,384.19140625,384.62109375,384.0,385.0703125,383.890625,384.296875,384.04296875,384.203125,384.9453125,384.63671875,384.5625,384.19140625,384.52734375,384.08984375,384.2578125,385.2109375
1631987025.3067565,setup,6962.08203125,402.171875,190.6640625,203.61328125,10.98828125,384.19140625,384.62109375,384.0,385.0703125,383.890625,384.296875,384.04296875,384.203125,384.9453125,384.63671875,384.5625,384.19140625,384.52734375,384.35546875,384.26953125,385.2109375
1631987025.7549238,setup,6968.1484375,402.203125,190.6640625,203.61328125,10.98828125,384.1953125,384.625,384.00390625,385.0703125,383.890625,384.3125,384.04296875,384.21484375,384.9453125,384.63671875,384.5625,384.19921875,384.52734375,384.35546875,384.26953125,385.2109375
1631987026.2042527,setup,6963.73046875,416.0546875,190.6640625,203.61328125,10.98828125,384.27734375,384.80078125,384.00390625,385.0859375,384.08984375,384.3125,384.04296875,384.21484375,385.02734375,384.80859375,384.640625,384.19921875,384.53515625,384.36328125,384.28125,385.21484375
1631987026.8468666,setup,7280.17578125,415.6328125,190.6640625,203.61328125,10.98828125,388.7734375,389.00390625,388.53125,389.515625,388.33984375,388.703125,388.5078125,388.6328125,389.6171875,389.2265625,388.85546875,388.59375,388.95703125,388.3203125,388.80078125,389.75
1631987027.5141654,setup,7338.953125,415.6328125,190.6640625,203.61328125,10.98828125,392.6015625,392.78125,392.3046875,393.3359375,392.3359375,392.69921875,392.31640625,392.44921875,393.41796875,393.0546875,392.90234375,392.40234375,392.78515625,392.23046875,392.7578125,393.55859375
1631987028.2224383,setup,7394.9375,415.67578125,190.6640625,203.61328125,10.98828125,396.17578125,396.36328125,395.8671875,396.90625,395.96484375,396.33203125,395.984375,396.01953125,396.98046875,396.8046875,396.53125,395.98046875,396.5390625,395.8671875,396.38671875,397.21875
1631987028.9036803,setup,7451.69140625,415.67578125,190.6640625,203.61328125,10.98828125,399.2734375,399.9921875,399.2421875,400.12890625,399.15625,399.515625,399.21484375,399.37890625,400.609375,399.671875,399.71875,399.3671875,399.82421875,399.33984375,399.984375,400.33203125
1631987029.6266003,setup,7508.46875,415.67578125,190.6640625,203.87109375,10.98828125,403.15234375,403.61328125,402.59375,403.75390625,402.578125,402.9375,402.6328125,402.7421875,403.97265625,403.5390625,403.1484375,402.71875,403.43359375,402.96484375,403.3359375,403.94140625
