Time Stamp (ms),qw,qx,qy,qz
9766,0,0,0,0
9800,0,0,0,0
9833,0,0,0,0
9867,0,0,0,0
9900,0,0,0,0
9934,0,0,0,0
9968,0,0,0,0
10001,0,0,0,0
10034,0,0,0,0
10069,0,0,0,0
10102,0,0,0,0
10135,0,0,0,0
10169,0,0,0,0
10203,0,0,0,0
10236,0,0,0,0
10269,0,0,0,0
10302,0,0,0,0
10337,0,0,0,0
10371,0,0,0,0
10404,0,0,0,0
10438,0,0,0,0
10471,0,0,0,0
10505,0,0,0,0
10538,0,0,0,0
10571,0,0,0,0
10605,0,0,0,0
10639,0,0,0,0
10674,0,0,0,0
10707,0,0,0,0
10740,0,0,0,0
10773,0,0,0,0
10807,0,0,0,0
10840,0,0,0,0
10875,0,0,0,0
10908,0,0,0,0
10941,0,0,0,0
10976,0,0,0,0
11010,0,0,0,0
11042,0,0,0,0
11078,0,0,0,0
11111,0,0,0,0
11143,0,0,0,0
11178,0,0,0,0
11210,0,0,0,0
11245,0,0,0,0
11277,0,0,0,0
11312,0,0,0,0
11345,0,0,0,0
11379,0,0,0,0
11411,0,0,0,0
11447,0,0,0,0
11479,0,0,0,0
11514,0,0,0,0
11546,0,0,0,0
11580,0,0,0,0
11615,0,0,0,0
11647,0,0,0,0
11681,0,0,0,0
11714,0,0,0,0
11749,0,0,0,0
11782,0,0,0,0
11815,0,0,0,0
11849,0,0,0,0
11883,0,0,0,0
11917,0,0,0,0
11950,0,0,0,0
11983,0,0,0,0
12017,0,0,0,0
12050,0,0,0,0
12083,0,0,0,0
12116,0,0,0,0
12151,0,0,0,0
12184,0,0,0,0
12218,0,0,0,0
12250,0,0,0,0
12285,0,0,0,0
12317,0,0,0,0
12351,0,0,0,0
12385,0,0,0,0
12419,0,0,0,0
12452,0,0,0,0
12485,0,0,0,0
12519,0,0,0,0
12553,0,0,0,0
12586,0,0,0,0
12620,0,0,0,0
12653,0,0,0,0
12686,0,0,0,0
12721,0,0,0,0
12753,0,0,0,0
12788,0,0,0,0
12821,0,0,0,0
12854,0,0,0,0
12888,0,0,0,0
12922,0,0,0,0
12955,0,0,0,0
12989,0,0,0,0
13022,0,0,0,0
13056,0,0,0,0
13089,0,0,0,0
13124,0,0,0,0
13157,0,0,0,0
13191,0,0,0,0
13224,0,0,0,0
13257,0,0,0,0
13290,0,0,0,0
13325,0,0,0,0
13358,0,0,0,0
13391,0,0,0,0
13426,0,0,0,0
13460,0,0,0,0
13493,0,0,0,0
13526,0,0,0,0
13560,0,0,0,0
13594,0,0,0,0
13627,0,0,0,0
13661,0,0,0,0
13695,0,0,0,0
13728,0,0,0,0
13761,0,0,0,0
13796,0,0,0,0
13829,0,0,0,0
13863,0,0,0,0
13897,0,0,0,0
13929,0,0,0,0
13964,0,0,0,0
13997,0,0,0,0
14031,0,0,0,0
14064,0,0,0,0
14098,0,0,0,0
14132,0,0,0,0
14165,0,0,0,0
14199,0,0,0,0
14233,0,0,0,0
14267,0,0,0,0
14299,0,0,0,0
14333,0,0,0,0
14367,0,0,0,0
14400,0,0,0,0
14435,0,0,0,0
14468,0,0,0,0
14502,0,0,0,0
14534,0,0,0,0
14568,0,0,0,0
14602,0,0,0,0
14637,0,0,0,0
14669,0,0,0,0
14703,0,0,0,0
14737,0,0,0,0
14769,0,0,0,0
14804,0,0,0,0
14836,0,0,0,0
14870,0,0,0,0
14903,0,0,0,0
14937,0,0,0,0
14970,0,0,0,0
15003,0,0,0,0
15038,0,0,0,0
15071,0,0,0,0
15104,0,0,0,0
15138,0,0,0,0
15172,0,0,0,0
15205,0,0,0,0
15239,0,0,0,0
15272,0,0,0,0
15305,0,0,0,0
15339,0,0,0,0
15374,0,0,0,0
15406,0,0,0,0
15440,0,0,0,0
15473,0,0,0,0
15507,0,0,0,0
15540,0,0,0,0
15574,0,0,0,0
15607,0,0,0,0
15641,0,0,0,0
15675,0,0,0,0
15708,0,0,0,0
15742,0,0,0,0
15776,0,0,0,0
15808,0,0,0,0
15843,0,0,0,0
15876,0,0,0,0
15910,0,0,0,0
15943,0,0,0,0
15976,0,0,0,0
16010,0,0,0,0
16044,0,0,0,0
16078,0,0,0,0
16112,0,0,0,0
16145,0,0,0,0
16179,0,0,0,0
16212,0,0,0,0
16246,0,0,0,0
16280,0,0,0,0
16313,0,0,0,0
16347,0,0,0,0
16380,0,0,0,0
16414,0,0,0,0
16449,0,0,0,0
16482,0,0,0,0
16515,0,0,0,0
16549,0,0,0,0
16582,0,0,0,0
16616,0,0,0,0
16649,0,0,0,0
16683,0,0,0,0
16717,0,0,0,0
16750,0,0,0,0
16785,0,0,0,0
16817,0,0,0,0
16852,0,0,0,0
16884,0,0,0,0
16919,0,0,0,0
16952,0,0,0,0
16985,0,0,0,0
17019,0,0,0,0
17053,0,0,0,0
17087,0,0,0,0
17120,0,0,0,0
17153,0,0,0,0
17187,0,0,0,0
17221,0,0,0,0
17255,0,0,0,0
17289,0,0,0,0
17321,0,0,0,0
17356,0,0,0,0
17388,0,0,0,0
17423,0,0,0,0
17455,0,0,0,0
17489,0,0,0,0
17521,0,0,0,0
17556,0,0,0,0
17589,0,0,0,0
17622,0,0,0,0
17656,0,0,0,0
17689,0,0,0,0
17723,0,0,0,0
17756,0,0,0,0
17791,0,0,0,0
17824,0,0,0,0
17857,0,0,0,0
17890,0,0,0,0
17924,0,0,0,0
17958,0,0,0,0
17992,0,0,0,0
18025,0,0,0,0
18058,0,0,0,0
18092,0,0,0,0
18125,0,0,0,0
18159,0,0,0,0
18193,0,0,0,0
18227,0,0,0,0
18260,0,0,0,0
18294,0,0,0,0
18327,0,0,0,0
18360,0,0,0,0
18395,0,0,0,0
18428,0,0,0,0
18461,0,0,0,0
18495,0,0,0,0
18529,0,0,0,0
18562,0,0,0,0
18595,0,0,0,0
18629,0,0,0,0
18663,0,0,0,0
18696,0,0,0,0
18730,0,0,0,0
18763,0,0,0,0
18797,0,0,0,0
18831,0,0,0,0
18865,0,0,0,0
18898,0,0,0,0
18931,0,0,0,0
18965,0,0,0,0
18999,0,0,0,0
19032,0,0,0,0
19066,0,0,0,0
19100,0,0,0,0
19135,0,0,0,0
19168,0,0,0,0
19201,0,0,0,0
19235,0,0,0,0
19268,0,0,0,0
19302,0,0,0,0
19335,0,0,0,0
19368,0,0,0,0
19402,0,0,0,0
19436,0,0,0,0
19469,0,0,0,0
19504,0,0,0,0
19538,0,0,0,0
19571,0,0,0,0
19604,0,0,0,0
19637,0,0,0,0
19671,0,0,0,0
19705,0,0,0,0
19739,0,0,0,0
19772,0,0,0,0
19806,0,0,0,0
19839,0,0,0,0
19874,0,0,0,0
19906,0,0,0,0
19941,0,0,0,0
19975,0,0,0,0
20009,0,0,0,0
20041,0,0,0,0
20075,0,0,0,0
20108,0,0,0,0
20142,0,0,0,0
20175,0,0,0,0
20211,0,0,0,0
20244,0,0,0,0
20276,0,0,0,0
20322,0,0,0,0
20342,0,0,0,0
20377,0,0,0,0
20409,0,0,0,0
20443,0,0,0,0
20477,0,0,0,0
20510,0,0,0,0
20542,0,0,0,0
20577,0,0,0,0
20616,0,0,0,0
20645,0,0,0,0
20678,0,0,0,0
20712,0,0,0,0
20745,0,0,0,0
20778,0,0,0,0
20811,0,0,0,0
20845,0,0,0,0
20880,0,0,0,0
20912,0,0,0,0
20945,0,0,0,0
20980,0,0,0,0
21013,0,0,0,0
21047,0,0,0,0
21081,0,0,0,0
21113,0,0,0,0
21147,0,0,0,0
21181,0,0,0,0
21214,0,0,0,0
21248,0,0,0,0
21281,0,0,0,0
21316,0,0,0,0
21349,0,0,0,0
21382,0,0,0,0
21416,0,0,0,0
21449,0,0,0,0
21483,0,0,0,0
21516,0,0,0,0
21549,0,0,0,0
21584,0,0,0,0
21617,0,0,0,0
21652,0,0,0,0
21685,0,0,0,0
21720,0,0,0,0
21752,0,0,0,0
21786,0,0,0,0
21821,0,0,0,0
21853,0,0,0,0
21887,0,0,0,0
21920,0,0,0,0
21955,0,0,0,0
21988,0,0,0,0
22022,0,0,0,0
22055,0,0,0,0
22088,0,0,0,0
22121,0,0,0,0
22155,0,0,0,0
22189,0,0,0,0
22223,0,0,0,0
22258,0,0,0,0
22290,0,0,0,0
22324,0,0,0,0
22357,0,0,0,0
22391,0,0,0,0
22424,0,0,0,0
22457,0,0,0,0
22491,0,0,0,0
22525,0,0,0,0
22559,0,0,0,0
22593,0,0,0,0
22626,0,0,0,0
22659,0,0,0,0
22693,0,0,0,0
22726,0,0,0,0
22760,0,0,0,0
22794,0,0,0,0
22828,0,0,0,0
22860,0,0,0,0
22894,0,0,0,0
22927,0,0,0,0
22961,0,0,0,0
22994,0,0,0,0
23028,0,0,0,0
23061,0,0,0,0
23095,0,0,0,0
23128,0,0,0,0
23162,0,0,0,0
23195,0,0,0,0
23230,0,0,0,0
23263,0,0,0,0
23297,0,0,0,0
23330,0,0,0,0
23363,0,0,0,0
23397,0,0,0,0
23430,0,0,0,0
23464,0,0,0,0
23498,0,0,0,0
23530,0,0,0,0
23564,0,0,0,0
23599,0,0,0,0
23632,0,0,0,0
23665,0,0,0,0
23699,0,0,0,0
23732,0,0,0,0
23766,0,0,0,0
23799,0,0,0,0
23832,0,0,0,0
23867,0,0,0,0
23900,0,0,0,0
23934,0,0,0,0
23968,0,0,0,0
24001,0,0,0,0
24034,0,0,0,0
24069,0,0,0,0
24102,0,0,0,0
24135,0,0,0,0
24168,0,0,0,0
24202,0,0,0,0
24236,0,0,0,0
24270,0,0,0,0
24303,0,0,0,0
24338,0,0,0,0
24371,0,0,0,0
24403,0,0,0,0
24438,0,0,0,0
24471,0,0,0,0
24504,0,0,0,0
24539,0,0,0,0
24572,0,0,0,0
24606,0,0,0,0
24639,0,0,0,0
24674,0,0,0,0
24707,0,0,0,0
24740,0,0,0,0
24775,0,0,0,0
24807,0,0,0,0
24841,0,0,0,0
24874,0,0,0,0
24908,0,0,0,0
24941,0,0,0,0
24976,0,0,0,0
25010,0,0,0,0
25044,0,0,0,0
25077,0,0,0,0
25109,0,0,0,0
25145,0,0,0,0
25177,0,0,0,0
25211,0,0,0,0
25244,0,0,0,0
25279,0,0,0,0
25312,0,0,0,0
25346,0,0,0,0
25380,0,0,0,0
25413,0,0,0,0
25446,0,0,0,0
25479,0,0,0,0
25513,0,0,0,0
25546,0,0,0,0
25580,0,0,0,0
25614,0,0,0,0
25647,0,0,0,0
25681,0,0,0,0
25715,0,0,0,0
25748,0,0,0,0
25781,0,0,0,0
25815,0,0,0,0
25848,0,0,0,0
25881,0,0,0,0
25914,0,0,0,0
25949,0,0,0,0
25981,0,0,0,0
26016,0,0,0,0
26049,0,0,0,0
26082,0,0,0,0
26116,0,0,0,0
26150,0,0,0,0
26184,0,0,0,0
26216,0,0,0,0
26250,0,0,0,0
26283,0,0,0,0
26317,0,0,0,0
26352,0,0,0,0
26384,0,0,0,0
26418,0,0,0,0
26452,0,0,0,0
26485,0,0,0,0
