timestamp,phase,mem_sum,mem_chld0,mem_chld1,mem_chld2,mem_chld3,mem_chld4,mem_chld5,mem_chld6,mem_chld7,mem_chld8,mem_chld9,mem_chld10,mem_chld11,mem_chld12,mem_chld13,mem_chld14,mem_chld15,mem_chld16,mem_chld17,mem_chld18,mem_chld19
1630019219.6138194,setup,4362.41015625,1583.734375,10.99609375,1383.8515625,1385.77734375,0.00390625,,,,,,,,,,,,,,,
1630019220.0713003,setup,4510.08203125,1583.9453125,10.99609375,1383.8515625,1388.75390625,54.65234375,46.8828125,36.21484375,31.36328125,31.4375,21.640625,8.34765625,,,,,,,,,
1630019220.517479,setup,4954.3515625,1584.13671875,10.99609375,1383.8515625,1388.83203125,141.38671875,121.37109375,110.0859375,73.41015625,52.859375,59.21484375,42.07421875,34.94140625,35.66015625,29.5546875,20.75390625,10.23046875,0.00390625,,,
1630019220.9945288,setup,5715.76171875,1584.328125,10.99609375,1383.8515625,1388.83203125,206.08203125,194.8984375,188.54296875,165.22265625,110.671875,145.2265625,84.1171875,64.109375,84.8671875,52.78515625,42.36328125,52.66796875,33.4921875,33.27734375,34.0078125,27.03125
1630019221.4665835,setup,6491.30859375,1584.328125,10.99609375,1383.8515625,1388.83203125,249.546875,229.0234375,216.2578125,208.7421875,172.76953125,197.4609375,147.375,172.3828125,169.84765625,110.0546875,84.27734375,139.4453125,59.5859375,81.64453125,104.68359375,48.640625
1630019221.9545715,setup,7457.45703125,1584.328125,10.99609375,1383.8515625,1388.83203125,383.98046875,268.55859375,249.3125,248.93359375,208.87109375,241.6875,197.65234375,219.65234375,209.16796875,179.546875,143.4453125,204.0078125,138.73046875,173.16796875,185.2421875,103.41796875
1630019222.4273927,setup,8299.921875,1584.453125,10.99609375,1383.8515625,1388.83203125,385.10546875,383.04296875,379.50390625,376.96875,248.0078125,271.03125,228.875,273.2890625,249.2421875,216.203125,197.2578125,250.76953125,193.21875,221.7265625,227.63671875,169.171875
1630019222.914808,setup,9251.46484375,1584.47265625,10.99609375,1383.8515625,1388.83203125,385.10546875,384.375,384.89453125,385.21875,303.91796875,383.99609375,258.7890625,384.5546875,383.328125,249.58203125,245.42578125,383.1875,216.0546875,271.921875,280.90625,206.83984375
1630019223.4074457,setup,10048.61328125,1584.5,10.99609375,1383.8515625,1388.83203125,385.171875,384.375,384.89453125,385.21875,385.1875,384.828125,383.86328125,384.58203125,384.171875,303.8984375,384.78515625,384.4296875,261.5078125,384.92578125,384.24609375,248.40625
1630019223.8604457,setup,10422.09375,1584.57421875,10.99609375,1383.8515625,1388.83203125,385.171875,384.4453125,385.26171875,385.328125,385.1875,384.828125,384.79296875,384.62890625,384.171875,384.54296875,385.68359375,385.28515625,385.55859375,384.92578125,384.24609375,381.3203125
1630019224.3058486,setup,10528.60546875,1584.6875,10.99609375,1383.8515625,1388.83203125,385.17578125,384.921875,385.77734375,385.328125,385.2421875,385.49609375,384.79296875,384.62890625,384.87109375,384.54296875,385.68359375,385.35546875,385.55859375,384.92578125,384.34765625,384.265625
1630019224.7531517,setup,10529.91015625,1584.71484375,10.99609375,1383.8515625,1388.83203125,385.17578125,384.94921875,385.796875,385.33203125,385.76953125,385.49609375,384.875,384.62890625,384.87109375,384.9609375,385.765625,385.35546875,385.55859375,385.0,384.34765625,384.265625
1630019225.204827,setup,10530.9609375,1584.74609375,10.99609375,1383.8515625,1388.83203125,385.17578125,384.94921875,385.796875,385.33203125,385.77734375,385.5,384.875,384.6328125,384.87890625,384.9609375,385.765625,385.35546875,385.62109375,385.0,384.34765625,384.58203125
1630019225.6890597,setup,10800.8359375,1585.01953125,10.99609375,1383.8515625,1388.83203125,393.578125,384.953125,389.42578125,386.01171875,389.39453125,385.5,387.91796875,384.6328125,385.37890625,385.35546875,386.40234375,385.83203125,388.59375,385.640625,386.77734375,384.58203125
