timestamp,phase,mem_sum,mem_chld0,mem_chld1,mem_chld2,mem_chld3,mem_chld4,mem_chld5,mem_chld6,mem_chld7,mem_chld8,mem_chld9,mem_chld10,mem_chld11,mem_chld12,mem_chld13,mem_chld14,mem_chld15,mem_chld16,mem_chld17,mem_chld18,mem_chld19
1641258942.0548108,setup,7869.0390625,2749.78125,11.03125,2554.125,2556.04296875,,,,,,,,,,,,,,,,
1641258942.5028336,setup,8023.5625,2750.12890625,11.03125,2554.125,2558.87890625,55.6015625,48.58984375,43.359375,36.9140625,31.91796875,27.81640625,8.70703125,0.00390625,,,,,,,,
1641258942.9619377,setup,8647.93359375,2750.51171875,11.03125,2554.125,2559.00390625,138.55078125,139.546875,137.15234375,109.27734375,96.14453125,77.19140625,60.24609375,50.78515625,48.69140625,46.09375,36.171875,34.03515625,18.4140625,12.56640625,0.00390625,
1641258943.4120965,setup,9683.80078125,2750.59375,11.03125,2554.125,2559.00390625,200.5546875,200.453125,195.30078125,191.453125,179.546875,171.015625,166.6875,137.0,136.36328125,107.8125,108.15234375,107.48828125,63.64453125,62.56640625,55.421875,34.953125
1641258943.8698225,setup,10816.83203125,2750.59375,11.03125,2554.125,2559.00390625,245.9765625,245.7734375,245.78515625,238.640625,225.6875,218.42578125,212.7421875,196.1171875,196.6796875,187.71875,183.484375,186.734375,167.7421875,168.4765625,142.30859375,108.8359375
1641258944.3212004,setup,11677.171875,2750.59375,11.03125,2554.125,2559.00390625,380.1171875,378.99609375,379.96484375,357.0859375,275.515625,268.53515625,256.09375,245.2265625,245.03515625,228.390625,225.203125,227.96484375,212.62109375,211.17578125,206.21484375,191.04296875
1641258944.7711,setup,12852.5234375,2750.7421875,11.03125,2554.125,2559.00390625,381.0859375,380.81640625,380.88671875,380.87109375,380.86328125,381.4765625,381.5859375,379.6484375,380.578125,281.6015625,277.37109375,279.33203125,257.96484375,255.79296875,252.02734375,237.96875
1641258945.2177062,setup,13865.28515625,2750.84765625,11.03125,2554.125,2559.00390625,381.671875,380.81640625,381.51953125,380.87109375,381.421875,381.4765625,381.5859375,380.71484375,382.67578125,380.72265625,381.28125,380.19140625,380.7734375,381.0703125,381.21484375,376.6953125
1641258945.6619375,setup,13985.01171875,2750.94921875,11.03125,2554.125,2559.00390625,381.73828125,380.87109375,381.59375,380.9296875,381.62109375,381.4765625,381.58984375,380.71484375,382.67578125,380.72265625,381.28125,380.7578125,380.7734375,381.0703125,382.19140625,380.59765625
1641258946.1045268,setup,13986.484375,2750.98828125,11.03125,2554.125,2559.00390625,381.73828125,380.87109375,381.59375,380.9296875,381.62109375,381.5859375,381.66796875,380.796875,383.14453125,380.78125,381.34375,380.84375,380.7734375,381.0703125,382.19140625,380.59765625
1641258946.5483477,setup,13987.23046875,2751.03515625,11.03125,2554.125,2559.00390625,381.75,380.87890625,381.59765625,380.9375,381.62109375,381.5859375,381.66796875,380.796875,383.14453125,380.78125,381.9140625,380.84375,380.8359375,381.13671875,382.25,380.66015625
1641258946.9909015,setup,13978.7890625,2751.0546875,11.03125,2554.125,2559.00390625,381.75,380.87890625,381.59765625,381.5,381.62890625,382.15625,381.67578125,380.80859375,383.1484375,380.78125,381.9140625,380.84375,380.8359375,381.13671875,382.25,381.2421875
1641258947.4324121,setup,13979.44140625,2751.11328125,11.03125,2554.125,2559.00390625,381.75,380.87890625,381.59765625,381.5,381.62890625,382.15625,381.67578125,380.80859375,383.1484375,380.7890625,381.93359375,380.85546875,381.40234375,381.13671875,382.265625,381.265625
1641258947.878427,setup,13990.359375,2751.12890625,11.03125,2554.125,2559.00390625,381.75390625,380.87890625,381.60546875,381.51953125,381.6328125,382.171875,381.6796875,380.81640625,383.1484375,380.7890625,381.93359375,380.85546875,381.40234375,381.6484375,382.265625,381.265625
1641258948.3210762,setup,13981.73046875,2751.1328125,11.03125,2554.125,2559.00390625,381.75390625,380.87890625,381.60546875,381.51953125,381.6328125,382.171875,381.6796875,380.81640625,383.1484375,381.31640625,382.1953125,380.86328125,381.6640625,381.66015625,382.51953125,381.265625
1641258948.7642763,setup,13983.30078125,2751.1328125,11.03125,2554.125,2559.00390625,381.75390625,380.8828125,381.8671875,381.5234375,381.640625,382.17578125,381.68359375,381.375,383.1484375,381.31640625,382.1953125,380.86328125,381.6640625,381.66015625,382.99609375,381.26953125
1641258949.2017524,setup,13984.171875,2751.1328125,11.03125,2554.125,2559.00390625,381.75390625,380.8828125,381.8671875,381.5234375,381.640625,382.17578125,382.23828125,381.3828125,383.15625,381.3203125,382.203125,381.140625,381.68359375,381.67578125,382.99609375,381.26953125
1641258949.6425192,setup,13993.92578125,2751.1875,11.03125,2554.125,2559.00390625,381.7578125,380.8828125,381.88671875,381.52734375,381.640625,382.17578125,382.23828125,381.3828125,383.15625,381.3203125,382.203125,381.140625,381.68359375,381.67578125,383.01171875,381.26953125
1641258950.0844839,setup,13994.2109375,2751.1875,11.03125,2554.125,2559.00390625,381.7578125,380.8828125,381.88671875,381.52734375,381.640625,382.18359375,382.5078125,381.390625,383.15625,381.33203125,382.2265625,381.14453125,381.68359375,381.67578125,383.01171875,381.26953125
1641258950.5295863,setup,13994.36328125,2751.1875,11.03125,2554.125,2559.00390625,381.76953125,380.88671875,381.890625,381.52734375,381.640625,382.18359375,382.5078125,381.390625,383.15625,381.33203125,382.2265625,381.14453125,381.6875,381.67578125,383.0234375,381.26953125
