timestamp,phase,mem_sum,mem_chld0,mem_chld1,mem_chld2,mem_chld3,mem_chld4,mem_chld5,mem_chld6,mem_chld7,mem_chld8,mem_chld9,mem_chld10,mem_chld11,mem_chld12,mem_chld13,mem_chld14,mem_chld15,mem_chld16,mem_chld17,mem_chld18,mem_chld19
1633276773.381987,setup,764.25,383.28515625,190.9453125,192.00390625,,,,,,,,,,,,,,,,,
1633276773.9768138,setup,936.1484375,400.5546875,190.9453125,203.5,11.02734375,33.95703125,33.15234375,32.296875,32.07421875,29.97265625,29.4140625,27.2890625,21.15234375,21.73046875,19.890625,17.6015625,12.67578125,11.515625,9.3203125,6.9140625,
1633276774.4407635,setup,1579.92578125,400.80859375,190.9453125,203.5,11.02734375,85.8515625,64.6640625,74.0703125,60.43359375,56.94140625,56.58984375,61.75390625,58.4453125,58.23828125,53.49609375,52.90234375,50.34765625,52.921875,48.54296875,48.51953125,48.50390625
1633276774.907881,setup,2609.73046875,400.80859375,190.9453125,203.5,11.02734375,169.16015625,138.98828125,165.375,138.62109375,135.08203125,136.8046875,143.98046875,137.62109375,138.49609375,112.640625,110.51171875,110.62109375,110.6015625,108.90234375,110.0703125,129.828125
1633276775.4081547,setup,3668.93359375,400.859375,190.9453125,203.74609375,11.02734375,212.32421875,195.46484375,211.91796875,193.390625,186.81640625,189.62109375,209.07421875,194.7109375,197.6015625,180.32421875,179.0078125,177.60546875,184.0546875,172.9609375,191.375,195.33203125
1633276775.8787282,setup,4250.45703125,400.859375,190.9453125,203.74609375,11.02734375,252.015625,221.70703125,252.31640625,228.0,213.85546875,216.5390625,249.234375,219.18359375,241.63671875,210.9453125,209.6953125,209.59765625,213.53515625,209.20703125,218.8828125,230.23046875
1633276776.3485432,setup,4898.91015625,400.859375,190.9453125,203.74609375,11.02734375,382.27734375,249.625,302.9765625,271.30859375,248.07421875,252.1875,301.4921875,248.83203125,298.21484375,245.17578125,247.86328125,241.73046875,248.609375,247.97265625,257.44140625,270.9375
1633276776.8105733,setup,5913.51171875,401.09765625,190.9453125,203.74609375,11.02734375,384.34765625,303.28515625,383.95703125,384.55859375,283.3125,382.9765625,383.9375,337.0703125,384.97265625,280.78125,280.6953125,279.7109375,286.40234375,302.6640625,382.80078125,382.96484375
1633276777.2627945,setup,6951.96484375,402.08984375,190.9453125,203.74609375,11.02734375,384.34765625,384.8984375,383.95703125,384.55859375,384.34375,384.203125,383.9375,382.96875,384.97265625,383.99609375,384.3515625,384.69921875,384.234375,383.5859375,385.11328125,383.6015625
1633276777.7147079,setup,6957.16015625,402.56640625,190.9453125,203.74609375,11.02734375,384.39453125,384.8984375,384.0234375,384.5625,384.34375,384.203125,384.0,383.60546875,384.97265625,383.99609375,384.3515625,384.69921875,384.234375,384.234375,385.11328125,383.6015625
