timestamp,phase,mem_sum,mem_chld0,mem_chld1,mem_chld2,mem_chld3,mem_chld4,mem_chld5,mem_chld6,mem_chld7,mem_chld8,mem_chld9,mem_chld10,mem_chld11,mem_chld12,mem_chld13,mem_chld14,mem_chld15,mem_chld16,mem_chld17,mem_chld18,mem_chld19
1631995097.451936,setup,5383.82421875,1923.3203125,10.98828125,1724.890625,1726.48828125,0.00390625,,,,,,,,,,,,,,,
1631995097.9064705,setup,5570.72265625,1923.671875,10.98828125,1724.890625,1729.58203125,41.1171875,39.98046875,38.01171875,42.36328125,34.98828125,31.90234375,29.41796875,19.4765625,8.3359375,0.00390625,,,,,,
1631995098.370419,setup,6204.04296875,1924.06640625,10.98828125,1724.890625,1729.64453125,106.359375,110.25,109.9375,127.16796875,107.234375,78.95703125,80.30859375,61.17578125,58.2890625,49.8125,41.69921875,46.19140625,35.15234375,32.99609375,29.140625,19.33203125
1631995098.836644,setup,7367.94921875,1924.06640625,10.98828125,1724.890625,1729.64453125,170.0625,194.99609375,194.51171875,194.7421875,189.546875,173.3203125,173.63671875,139.69140625,146.2421875,138.48828125,110.375,135.60546875,107.5390625,109.0625,78.1875,63.00390625
1631995099.301951,setup,8466.87109375,1924.06640625,10.98828125,1724.890625,1729.64453125,203.83984375,240.62109375,240.25,240.578125,240.19921875,221.890625,225.50390625,195.0546875,208.296875,201.0234375,195.25,194.69921875,180.92578125,192.453125,172.86328125,162.84375
1631995099.9436595,setup,9758.7109375,1924.06640625,10.98828125,1724.890625,1729.64453125,249.0078125,381.3203125,380.44921875,381.12890625,381.93359375,286.40625,366.59765625,241.20703125,277.3515625,270.359375,250.453125,260.1640625,242.90234375,249.39453125,241.34375,230.5390625
1631995100.423084,setup,10997.73046875,1924.22265625,10.98828125,1724.890625,1729.64453125,382.71484375,381.484375,382.55859375,383.36328125,382.1015625,384.40234375,384.33203125,381.30078125,383.6640625,382.6953125,382.91015625,382.8515625,381.328125,382.27734375,382.25390625,291.80078125
1631995100.8753192,setup,11523.17578125,1924.3125,10.98828125,1724.890625,1729.64453125,383.703125,381.484375,383.12109375,383.36328125,382.1015625,384.40625,384.33203125,383.09375,383.6640625,383.30078125,383.62890625,383.51171875,383.3828125,383.96484375,384.046875,383.5
1631995101.3263535,setup,11527.42578125,1924.3125,10.98828125,1724.890625,1729.64453125,383.703125,381.484375,383.12109375,383.36328125,383.9375,384.40625,384.33203125,383.66015625,383.6640625,383.30078125,384.203125,383.51171875,383.3828125,383.97265625,384.046875,383.5
1631995101.7764134,setup,11530.37109375,1924.359375,10.98828125,1724.890625,1729.64453125,383.76171875,381.484375,383.2421875,383.4140625,384.27734375,385.04296875,384.453125,383.9765625,383.7265625,383.359375,384.3125,383.56640625,384.26953125,384.0625,384.25390625,383.84375
1631995102.4510455,setup,11532.12890625,1924.359375,10.98828125,1724.890625,1729.64453125,383.76171875,381.484375,383.24609375,383.93359375,384.85546875,385.0625,384.4609375,383.9765625,383.73046875,383.3671875,384.3125,383.57421875,384.26953125,384.0625,384.31640625,384.546875
1631995102.9036243,setup,11534.2890625,1924.359375,10.98828125,1724.890625,1729.64453125,384.32421875,381.484375,383.24609375,383.93359375,384.85546875,385.0625,384.94140625,383.98828125,383.73046875,383.625,384.3203125,383.57421875,384.27734375,384.0625,384.98828125,384.546875
1631995103.596207,setup,11539.52734375,1924.5390625,10.98828125,1724.890625,1729.64453125,384.3359375,383.5625,383.51171875,383.9375,384.859375,385.0703125,384.9609375,383.99609375,383.734375,383.6328125,384.32421875,383.59765625,384.27734375,384.06640625,385.0,384.55859375
1631995104.0462801,setup,11547.45703125,1924.54296875,10.98828125,1724.890625,1729.64453125,384.3359375,383.5625,383.51171875,383.9375,384.859375,385.0703125,384.9609375,383.99609375,383.734375,383.6328125,384.32421875,383.59765625,384.27734375,384.06640625,385.0,384.55859375
1631995104.4996777,setup,11548.05078125,1924.55859375,10.98828125,1724.890625,1729.64453125,384.3359375,383.6328125,383.52734375,383.9375,384.859375,385.07421875,384.9765625,383.99609375,384.41015625,383.640625,384.32421875,383.85546875,384.27734375,384.06640625,385.0078125,384.56640625
1631995104.9521828,setup,11552.60546875,1924.5703125,10.98828125,1724.890625,1729.64453125,384.3359375,383.6328125,383.52734375,383.9375,384.859375,385.07421875,384.9765625,384.0078125,384.41015625,383.640625,384.5859375,383.85546875,384.28515625,384.0703125,385.0078125,384.56640625
1631995105.4017768,setup,11538.96875,1924.625,10.98828125,1724.890625,1729.64453125,384.3359375,383.640625,383.53125,383.94921875,384.86328125,385.0859375,384.984375,384.0078125,384.421875,383.640625,384.5859375,383.875,384.28515625,384.0703125,385.01171875,384.56640625
1631995105.8548417,setup,11539.28515625,1924.625,10.98828125,1724.890625,1729.64453125,384.34765625,383.640625,383.53125,383.94921875,384.86328125,385.0859375,384.984375,384.0078125,384.421875,383.640625,384.59375,383.875,384.2890625,384.328125,385.01171875,384.56640625
1631995106.3079998,setup,11549.5234375,1924.625,10.98828125,1724.890625,1729.64453125,384.34765625,384.14453125,383.54296875,383.95703125,384.86328125,385.08984375,384.99609375,384.0078125,384.4375,383.640625,384.59375,383.875,384.2890625,384.328125,385.01171875,384.56640625
1631995106.7579398,setup,11539.8984375,1924.625,10.98828125,1724.890625,1729.64453125,384.3515625,384.14453125,383.54296875,383.95703125,384.86328125,385.08984375,384.99609375,384.01171875,384.4375,383.64453125,384.59765625,383.890625,384.29296875,384.33984375,385.015625,384.57421875
1631995107.2113497,setup,11539.90234375,1924.65625,10.98828125,1724.890625,1729.64453125,384.3515625,384.15234375,383.54296875,383.96484375,384.86328125,385.08984375,384.99609375,384.01171875,384.4375,383.64453125,384.59765625,383.890625,384.29296875,384.33984375,385.015625,384.57421875
1631995107.6600513,setup,11539.984375,1924.6640625,10.98828125,1724.890625,1729.64453125,384.3515625,384.15234375,383.54296875,383.96484375,384.8671875,385.08984375,384.99609375,384.015625,384.44140625,383.6484375,384.6015625,383.89453125,384.30078125,384.34375,385.01953125,384.578125
1631995108.3152966,setup,11549.72265625,1924.6640625,10.98828125,1724.890625,1729.64453125,384.3515625,384.15625,383.546875,383.96484375,384.8671875,385.08984375,385.00390625,384.015625,384.44140625,383.6484375,384.6015625,383.89453125,384.30078125,384.34375,385.01953125,384.578125
1631995108.7678928,setup,11550.79296875,1924.6640625,10.98828125,1724.890625,1729.64453125,384.35546875,384.15625,383.546875,383.96484375,384.87109375,385.08984375,385.00390625,384.015625,384.44140625,383.65625,384.609375,383.9140625,384.30078125,384.98828125,385.02734375,384.58203125
1631995109.2229376,setup,11554.56640625,1924.69140625,10.98828125,1724.890625,1729.64453125,384.35546875,384.16015625,383.5625,383.96484375,384.87109375,385.08984375,385.01171875,384.015625,384.44140625,383.65625,384.609375,383.9140625,384.30078125,384.98828125,385.02734375,384.58203125
1631995109.6773958,setup,11553.49609375,1924.703125,10.98828125,1724.890625,1729.64453125,384.36328125,384.16015625,383.5625,383.96484375,384.875,385.34765625,385.01171875,384.01953125,384.44140625,383.6640625,384.625,383.9140625,384.3125,385.0,385.2890625,384.5859375
1631995110.1287913,setup,11541.3671875,1924.703125,10.98828125,1724.890625,1729.64453125,384.36328125,384.1640625,383.578125,383.97265625,384.875,385.34765625,385.01171875,384.01953125,384.44140625,383.6640625,384.625,383.9140625,384.3125,385.0,385.2890625,384.5859375
1631995110.57857,setup,11551.0703125,1924.703125,10.98828125,1724.890625,1729.64453125,384.3671875,384.1640625,383.578125,383.97265625,384.87890625,385.375,385.01171875,384.0234375,384.44921875,383.66796875,384.625,383.921875,384.3125,385.0078125,385.296875,384.58984375
1631995111.0383275,setup,11541.47265625,1924.703125,10.98828125,1724.890625,1729.64453125,384.3671875,384.1640625,383.578125,383.97265625,384.87890625,385.375,385.01171875,384.0234375,384.44921875,383.66796875,384.625,383.921875,384.3125,385.0078125,385.296875,384.58984375
