Time Stamp (ms),qw,qx,qy,qz
9765,0,0,0,0
9799,0,0,0,0
9831,0,0,0,0
9864,0,0,0,0
9898,0,0,0,0
9931,0,0,0,0
9965,0,0,0,0
9999,0,0,0,0
10032,0,0,0,0
10066,0,0,0,0
10100,0,0,0,0
10133,0,0,0,0
10167,0,0,0,0
10200,0,0,0,0
10234,0,0,0,0
10267,0,0,0,0
10300,0,0,0,0
10334,0,0,0,0
10368,0,0,0,0
10401,0,0,0,0
10435,0,0,0,0
10469,0,0,0,0
10502,0,0,0,0
10536,0,0,0,0
10569,0,0,0,0
10602,0,0,0,0
10636,0,0,0,0
10669,0,0,0,0
10704,0,0,0,0
10737,0,0,0,0
10770,0,0,0,0
10805,0,0,0,0
10839,0,0,0,0
10872,0,0,0,0
10906,0,0,0,0
10938,0,0,0,0
10972,0,0,0,0
11006,0,0,0,0
11041,0,0,0,0
11073,0,0,0,0
11108,0,0,0,0
11141,0,0,0,0
11176,0,0,0,0
11210,0,0,0,0
11242,0,0,0,0
11276,0,0,0,0
11310,0,0,0,0
11342,0,0,0,0
11376,0,0,0,0
11410,0,0,0,0
11443,0,0,0,0
11477,0,0,0,0
11511,0,0,0,0
11545,0,0,0,0
11579,0,0,0,0
11612,0,0,0,0
11645,0,0,0,0
11678,0,0,0,0
11712,0,0,0,0
11745,0,0,0,0
11778,0,0,0,0
11812,0,0,0,0
11846,0,0,0,0
11881,0,0,0,0
11914,0,0,0,0
11947,0,0,0,0
11981,0,0,0,0
12016,0,0,0,0
12048,0,0,0,0
12081,0,0,0,0
12115,0,0,0,0
12149,0,0,0,0
12181,0,0,0,0
12215,0,0,0,0
12249,0,0,0,0
12282,0,0,0,0
12316,0,0,0,0
12349,0,0,0,0
12382,0,0,0,0
12416,0,0,0,0
12450,0,0,0,0
12483,0,0,0,0
12517,0,0,0,0
12550,0,0,0,0
12583,0,0,0,0
12617,0,0,0,0
12651,0,0,0,0
12684,0,0,0,0
12718,0,0,0,0
12752,0,0,0,0
12786,0,0,0,0
12819,0,0,0,0
12851,0,0,0,0
12886,0,0,0,0
12919,0,0,0,0
12953,0,0,0,0
12986,0,0,0,0
13020,0,0,0,0
13054,0,0,0,0
13087,0,0,0,0
13121,0,0,0,0
13154,0,0,0,0
13188,0,0,0,0
13221,0,0,0,0
13255,0,0,0,0
13289,0,0,0,0
13322,0,0,0,0
13355,0,0,0,0
13390,0,0,0,0
13423,0,0,0,0
13456,0,0,0,0
13490,0,0,0,0
13524,0,0,0,0
13558,0,0,0,0
13590,0,0,0,0
13625,0,0,0,0
13658,0,0,0,0
13691,0,0,0,0
13725,0,0,0,0
13759,0,0,0,0
13792,0,0,0,0
13826,0,0,0,0
13861,0,0,0,0
13893,0,0,0,0
13927,0,0,0,0
13961,0,0,0,0
13995,0,0,0,0
14028,0,0,0,0
14062,0,0,0,0
14095,0,0,0,0
14129,0,0,0,0
14162,0,0,0,0
14197,0,0,0,0
14230,0,0,0,0
14263,0,0,0,0
14297,0,0,0,0
14331,0,0,0,0
14364,0,0,0,0
14398,0,0,0,0
14431,0,0,0,0
14465,0,0,0,0
14500,0,0,0,0
14531,0,0,0,0
14565,0,0,0,0
14600,0,0,0,0
14633,0,0,0,0
14666,0,0,0,0
14700,0,0,0,0
14733,0,0,0,0
14768,0,0,0,0
14801,0,0,0,0
14834,0,0,0,0
14868,0,0,0,0
14902,0,0,0,0
14935,0,0,0,0
14968,0,0,0,0
15002,0,0,0,0
15034,0,0,0,0
15069,0,0,0,0
15103,0,0,0,0
15135,0,0,0,0
15169,0,0,0,0
15203,0,0,0,0
15236,0,0,0,0
15270,0,0,0,0
15304,0,0,0,0
15337,0,0,0,0
15371,0,0,0,0
15404,0,0,0,0
15437,0,0,0,0
15471,0,0,0,0
15504,0,0,0,0
15538,0,0,0,0
15572,0,0,0,0
15605,0,0,0,0
15639,0,0,0,0
15672,0,0,0,0
15705,0,0,0,0
15739,0,0,0,0
15773,0,0,0,0
15806,0,0,0,0
15840,0,0,0,0
15873,0,0,0,0
15907,0,0,0,0
15941,0,0,0,0
15974,0,0,0,0
16008,0,0,0,0
16041,0,0,0,0
16075,0,0,0,0
16108,0,0,0,0
16142,0,0,0,0
16175,0,0,0,0
16210,0,0,0,0
16243,0,0,0,0
16277,0,0,0,0
16311,0,0,0,0
16344,0,0,0,0
16377,0,0,0,0
16411,0,0,0,0
16445,0,0,0,0
16479,0,0,0,0
16512,0,0,0,0
16546,0,0,0,0
16580,0,0,0,0
16613,0,0,0,0
16647,0,0,0,0
16680,0,0,0,0
16713,0,0,0,0
16748,0,0,0,0
16781,0,0,0,0
16814,0,0,0,0
16848,0,0,0,0
16882,0,0,0,0
16915,0,0,0,0
16950,0,0,0,0
16983,0,0,0,0
17016,0,0,0,0
17050,0,0,0,0
17083,0,0,0,0
17117,0,0,0,0
17151,0,0,0,0
17184,0,0,0,0
17219,0,0,0,0
17251,0,0,0,0
17285,0,0,0,0
17319,0,0,0,0
17357,0,0,0,0
17386,0,0,0,0
17419,0,0,0,0
17453,0,0,0,0
17486,0,0,0,0
17520,0,0,0,0
17555,0,0,0,0
17587,0,0,0,0
17620,0,0,0,0
17653,0,0,0,0
17687,0,0,0,0
17720,0,0,0,0
17755,0,0,0,0
17787,0,0,0,0
17822,0,0,0,0
17855,0,0,0,0
17889,0,0,0,0
17922,0,0,0,0
17955,0,0,0,0
17989,0,0,0,0
18022,0,0,0,0
18056,0,0,0,0
18089,0,0,0,0
18124,0,0,0,0
18157,0,0,0,0
18190,0,0,0,0
18224,0,0,0,0
18258,0,0,0,0
18290,0,0,0,0
18324,0,0,0,0
18358,0,0,0,0
18392,0,0,0,0
18425,0,0,0,0
18459,0,0,0,0
18492,0,0,0,0
18526,0,0,0,0
18559,0,0,0,0
18594,0,0,0,0
18626,0,0,0,0
18660,0,0,0,0
18693,0,0,0,0
18728,0,0,0,0
18761,0,0,0,0
18795,0,0,0,0
18828,0,0,0,0
18862,0,0,0,0
18895,0,0,0,0
18929,0,0,0,0
18964,0,0,0,0
18996,0,0,0,0
19031,0,0,0,0
19063,0,0,0,0
19097,0,0,0,0
19130,0,0,0,0
19164,0,0,0,0
19198,0,0,0,0
19231,0,0,0,0
19265,0,0,0,0
19298,0,0,0,0
19332,0,0,0,0
19366,0,0,0,0
19400,0,0,0,0
19433,0,0,0,0
19467,0,0,0,0
19500,0,0,0,0
19534,0,0,0,0
19568,0,0,0,0
19601,0,0,0,0
19634,0,0,0,0
19669,0,0,0,0
19702,0,0,0,0
19735,0,0,0,0
19769,0,0,0,0
19803,0,0,0,0
19836,0,0,0,0
19870,0,0,0,0
19903,0,0,0,0
19937,0,0,0,0
19971,0,0,0,0
20005,0,0,0,0
20039,0,0,0,0
20073,0,0,0,0
20105,0,0,0,0
20138,0,0,0,0
20173,0,0,0,0
20206,0,0,0,0
20240,0,0,0,0
20273,0,0,0,0
20307,0,0,0,0
20341,0,0,0,0
20373,0,0,0,0
20407,0,0,0,0
20440,0,0,0,0
20474,0,0,0,0
20507,0,0,0,0
20540,0,0,0,0
20574,0,0,0,0
20608,0,0,0,0
20642,0,0,0,0
20675,0,0,0,0
20708,0,0,0,0
20742,0,0,0,0
20775,0,0,0,0
20808,0,0,0,0
20843,0,0,0,0
20876,0,0,0,0
20909,0,0,0,0
20943,0,0,0,0
20976,0,0,0,0
21010,0,0,0,0
21044,0,0,0,0
21077,0,0,0,0
21111,0,0,0,0
21145,0,0,0,0
21178,0,0,0,0
21212,0,0,0,0
21246,0,0,0,0
21279,0,0,0,0
21313,0,0,0,0
21347,0,0,0,0
21380,0,0,0,0
21413,0,0,0,0
21447,0,0,0,0
21480,0,0,0,0
21514,0,0,0,0
21548,0,0,0,0
21581,0,0,0,0
21615,0,0,0,0
21648,0,0,0,0
21682,0,0,0,0
21716,0,0,0,0
21750,0,0,0,0
21783,0,0,0,0
21816,0,0,0,0
21850,0,0,0,0
21883,0,0,0,0
21917,0,0,0,0
21951,0,0,0,0
21984,0,0,0,0
22018,0,0,0,0
22052,0,0,0,0
22086,0,0,0,0
22119,0,0,0,0
22153,0,0,0,0
22186,0,0,0,0
22219,0,0,0,0
22254,0,0,0,0
22287,0,0,0,0
22320,0,0,0,0
22354,0,0,0,0
22389,0,0,0,0
22421,0,0,0,0
22456,0,0,0,0
22488,0,0,0,0
22522,0,0,0,0
22556,0,0,0,0
22589,0,0,0,0
22622,0,0,0,0
22656,0,0,0,0
22690,0,0,0,0
22724,0,0,0,0
22757,0,0,0,0
22791,0,0,0,0
22825,0,0,0,0
22858,0,0,0,0
22891,0,0,0,0
